        x         y   Spec Type
    6.064    14.372         a7v
   -4.125     2.746         l8v
    0.876   -12.777         m6v
   18.848    -4.085         t9v
   -8.686    -8.312         t9v
  -10.942    15.677         m6v
    -5.42   -10.702         t9v
    1.923    -1.146         m7v
    8.644     8.775         t9v
   -0.988     2.604         m7v
   10.678     2.678         m7v
    -3.48   -15.856         t9v
   -9.069    18.129         m6v
   -3.478     5.845         m8v
   15.128     7.454         m7v
   18.843   -13.196         k7v
   17.005     -3.83         m6v
   10.712     4.533         m3v
   -2.115     6.286         l8v
    -0.75     7.066         l2v
    8.615    -15.94         t8v
   10.283     -5.22         m6v
     9.08     2.971         b7v
    3.441    -3.177         m6v
  -14.974    -0.717         t9v
   -4.693    12.388         m6v
    -9.51    13.501         m9v
   -8.568   -12.737         k4v
   23.392     5.504         b7v
   13.684     -4.66         t9v
   -0.822     1.377         t9v
  -21.858     9.498         m7v
   -1.081    10.345         l7v
    2.548     0.016         m7v
    6.903   -17.662         l0v
   10.064    26.725         m6v
  -13.313     0.299         t9v
   -0.784    -2.147         k4v
   -5.387    -8.934         l8v
   -2.361   -11.989         g9v
      1.9     15.36         k3v
   -6.929    17.347         m7v
   13.421    11.927         m4v
   -6.766    -9.128         m6v
  -10.158   -14.506         t9v
   13.971     5.999         t9v
    8.073    -5.211         t9v
   11.003     3.024         t9v
    2.718    -8.769         m6v
   11.084    21.195         f8v
    9.618    17.272         m6v
  -11.712    -5.235         m6v
    10.42     -2.19         m6v
    3.876       7.4         m7v
   -7.506    14.308         k2v
  -13.596     5.889         m6v
    3.221    -0.234         m9v
     0.16    -8.209         m5v
    1.544    -2.162         m6v
   -7.044   -11.823         m6v
   -10.01    -4.433         m6v
   -7.088    -7.082         m6v
  -12.615      0.55         t2v
    4.568     2.348         l7v
    3.018    -5.398         f9v
    1.901    21.045         l3v
    9.823    14.108         t6v
   12.545    -9.628         g8v
    2.311   -13.911         m6v
   -8.468   -18.921         k0v
   -0.148    -5.812         l9v
    4.337      6.12         m1v
   -5.295    -5.131         t9v
    2.413    -10.92         l2v
  -13.028     6.818         t9v
    0.833      8.78         m7v
   10.251     3.722         m8v
    1.167     4.843         t9v
   14.218    -6.681         k0v
    4.453    -1.381         b9v
   15.878    -4.448         t4v
   -0.673     1.535         m6v
   11.165    -0.968         g5v
   -9.078    -4.873         m6v
   -2.189    -8.844         m6v
    1.703     6.537         m7v
   -0.009   -10.669         g0v
    1.286    -8.669         l0v
   19.909    -6.977         f7v
    4.374     1.516         m7v
   16.025    10.297         m6v
   13.374     2.672         g1v
   -2.666     7.494         m7v
    2.271    -2.433         m1v
    2.738    23.606         m6v
   -3.254    -1.493         m2v
   -2.607     -1.87         m7v
   -1.443     0.751         f8v
    4.312     2.433         t2v
    2.523    -5.734         m6v
    6.413   -11.519         m6v
    5.827      -3.5         t9v
    3.265   -22.181         l7v
  -15.719    -2.532         k1v
   -1.797     8.278         m6v
   -1.465    -4.929         m7v
   -8.407    -8.972         l1v
    2.459   -14.071         m6v
   -5.391   -14.445         m6v
    4.815    -7.908         m6v
    8.741      5.41         m8v
   -2.713    -4.528         m6v
    5.849     0.254         m7v
   16.248   -10.143         m6v
  -19.959    11.539         m4v
   -6.712    15.135         b2v
  -12.634    -1.325         a7v
    2.454   -11.469         m6v
  -19.394    22.354         k2v
   -5.353    19.073         m7v
     2.16    17.548         m6v
   11.653    24.385         m2v
    0.513    -6.649         m6v
   23.201     6.288         l6v
     -2.4     8.504         m6v
   -2.162   -12.457         t9v
   -2.389   -14.849         t9v
     5.56     1.934         t9v
   -2.746    -2.875         m7v
   -4.966     5.972         m5v
   10.106    13.558         m6v
    4.867    17.513         t9v
    2.642     0.431         m7v
    2.657     9.348         l7v
  -10.619      1.39         m8v
    2.747    18.814         l0v
    5.627    -3.331         l9v
    3.889     1.588         l2v
     8.07     2.741         m6v
   -3.363     0.594         m8v
    6.805    -8.129         m6v
   16.766    -6.061         t9v
    0.156     8.965         f7v
   -5.151     3.354         m7v
   -1.979    -3.647         m6v
   12.911    -8.738         t1v
  -15.626    -0.797         k9v
   -1.309    -4.336         m6v
    1.655    21.544         m6v
    8.517    19.932         m7v
   -1.373    -13.16         m7v
    5.582   -12.446         t4v
   -6.941    -7.554         t2v
   16.815     0.566         m6v
    4.477     -0.31         t2v
   12.274   -14.475         m7v
    6.169    -7.658         m6v
    3.726     0.845         t9v
   23.901    -2.797         t9v
    9.943     8.757         m6v
   -8.762    16.699         f2v
  -12.686    -5.126         m7v
     2.58    -0.014         m6v
    9.932    -6.205         k9v
    5.497   -18.256         m7v
  -13.238    -2.078         m6v
  -29.526   -13.902         k9v
    6.774    -1.042         l7v
    -5.77    -8.004         m6v
    2.733     6.263         m6v
   -8.632     2.441         f9v
   -3.622   -13.042         m7v
  -13.661     3.696         m7v
    1.018       2.7         m6v
    9.439     4.832         f3v
    6.682   -21.531         l0v
   -3.256    19.015         m7v
  -14.735   -10.516         a3v
    5.326    13.355         g1v
   20.391    -3.459         k1v
  -10.528    -17.03         k7v
    1.335   -10.165         t9v
    2.346    -7.342         a3v
   -8.519     7.147         m2v
    4.476    -5.269         m7v
   -5.251     3.861         m6v
   -0.755     4.112         l0v
   -4.586   -18.839         m6v
   11.987      8.51         m6v
   12.214     3.654         m7v
    2.506       0.2         l1v
   -8.136     0.376         k7v
   22.698    16.945         m7v
  -15.475    17.224         k2v
  -11.685     4.841         l6v
   -6.331   -13.723         g9v
  -12.718    -3.433         t4v
   10.101   -22.128         k1v
    6.394   -16.287         m5v
    11.05     6.346         m7v
    6.834    -3.513         m7v
   -1.621    -6.261         f6v
   -2.245   -10.582         t9v
     8.89     7.025         m7v
   -1.408    -5.639         t9v
  -20.189    -11.86         m7v
   11.178    12.614         k8v
    8.317      5.02         l8v
    5.432    -2.126         t9v
   23.166     5.076         m7v
  -14.841    -3.678         k5v
     6.78    -4.631         m1v
   -5.984     -0.18         m6v
   13.823     8.401         m6v
   15.217     3.843         m1v
    5.794     5.587         l6v
  -12.764    16.739         l5v
    3.254    -6.608         m7v
    6.264    -1.223         k9v
  -20.792    14.133         a1v
   -8.342    -0.875         m7v
   -1.941     9.898         m7v
   -0.044    -4.468         m7v
    7.815     2.241         m6v
   -7.754    -5.567         k5v
    7.232    19.869         m6v
  -17.575     21.56         m6v
   -8.398     1.487         t9v
  -19.859    12.046         m7v
   -6.565     5.988         m6v
  -11.179     4.881         k6v
   -2.209   -14.886         g0v
   -6.667    15.155         m6v
    0.702   -16.388         m5v
    7.347   -13.073         l7v
   -0.723    -1.093         m7v
  -19.546    -6.936         m6v
   -8.915   -16.062         m9v
    4.539     0.118         t9v
    6.639    -8.853         m6v
    3.639    23.556         m6v
   -2.097     -5.71         m7v
   -2.083     1.144         m5v
  -17.442   -23.737         m6v
    -4.98     1.129         m6v
  -10.942    -2.531         t9v
   16.631     8.631         l2v
   20.588    -2.926         t9v
     -4.4     1.924         m6v
    7.329     10.01         m7v
   -2.386      9.21         m6v
   -6.369     0.036         m7v
  -10.476     8.214         m5v
  -14.649     6.396         m6v
    -0.35    -4.437         m6v
   23.137    -8.276         t9v
  -14.592    -0.806         b0v
   12.705    -0.952         m6v
   -7.752   -10.606         g0v
   13.888   -18.262         m6v
   -1.371    -1.268         m7v
  -20.484   -12.401         t9v
   -8.144     0.729         m6v
   10.311    -5.332         l1v
  -13.672    -5.483         m7v
  -15.921     7.246         m7v
   -9.156   -19.522         k4v
    6.969   -16.482         m3v
   -2.444       8.1         m8v
    2.906     4.973         k6v
   18.524   -20.631         m7v
   15.922     0.559         m7v
   10.344      7.23         m7v
    3.566    -3.784         l1v
   -2.867    -3.774         l6v
    7.109    -4.248         t9v
   -0.219     0.955         l3v
  -14.686     9.727         t0v
     0.32     9.393         k2v
   -4.789   -11.068         k5v
    7.225   -13.823         a7v
      6.0   -13.085         m7v
    -7.81     3.324         a0v
    6.047   -16.038         m4v
   -4.167    -1.841         t9v
   -3.115   -11.785         l1v
    0.078    20.917         m7v
    14.21   -10.024         t9v
   -4.851   -13.186         l0v
   -1.113    -5.063         m2v
   17.289    -3.987         m7v
   -5.802    13.613         m7v
  -24.622    -0.609         m6v
    8.205     2.484         m6v
   -8.084   -10.402         m6v
    -5.52     4.907         k4v
    7.983    12.771         m6v
   -6.261     8.649         m6v
   -3.529     3.959         m6v
    4.009    18.101         t9v
  -15.021    -1.265         g6v
    4.815    -2.599         m6v
    3.499    12.539         t9v
    4.349     18.54         k6v
    4.507     4.586         g2v
   13.731   -14.542         l9v
    -3.08     3.347         m6v
  -15.008    -5.503         m4v
     2.27    13.689         t0v
    5.512    -6.059         t9v
    8.158     5.841         m6v
   18.459   -22.643         m6v
   -5.717   -15.057         l0v
    -9.51    12.383         t9v
   11.135    30.822         f2v
   -2.037     7.701         m7v
    4.837   -21.687         m7v
     5.14      6.95         m6v
   20.176    12.245         m7v
   -3.788     2.118         m6v
   12.732    -1.951         t1v
   20.987      5.52         t9v
    6.724     1.219         m6v
  -10.975     0.183         m6v
   12.058   -14.153         m7v
   16.785    -0.604         m7v
    3.255    -6.501         m6v
   -3.505     1.569         k3v
   -8.162    -1.219         m7v
   -0.217     8.442         m7v
   -7.587    -12.81         t9v
    3.207    -9.545         m6v
   12.814     6.987         o8v
   -11.03    16.947         f8v
   -0.286    -1.552         b9v
   15.509    -7.238         a8v
    5.254    -8.068         m7v
   -0.383    -3.261         t2v
   12.813    -4.954         m4v
    5.127     8.169         l0v
   22.743     8.267         m7v
   20.004    -2.798         t9v
    0.318    11.274         t9v
    1.776     2.539         g1v
    8.237    -7.227         l0v
    2.507    10.638         l0v
   21.873    -6.924         l4v
   -2.127    -4.173         a4v
   -10.28     8.322         m0v
    -8.57     0.545         m7v
   10.094      9.85         t2v
    3.897     6.778         m7v
    3.862    -0.474         k3v
  -18.188     5.857         l0v
    1.337     4.654         m6v
    2.671    -1.794         k8v
   -4.915   -17.118         t4v
  -18.493    -13.65         t9v
    8.575    11.154         m6v
  -10.202    18.117         t9v
   16.483    -6.739         m6v
    2.855     17.25         t9v
    9.249     7.185         a4v
   -3.957    -14.84         m6v
    2.833     3.306         t9v
   -6.572     5.175         m6v
   -3.019     8.225         m7v
    -7.04     0.261         m6v
   -5.901    -8.051         t9v
    8.753    11.529         m9v
    1.603      -2.3         t9v
   20.353     7.541         m6v
   -2.692     3.135         m6v
   19.791   -10.771         m6v
   -5.568    16.356         m6v
    18.25    -1.605         m3v
   -6.158     9.031         t9v
  -17.629   -11.159         k1v
   -5.103    -3.233         m7v
    7.284    -13.39         m6v
   14.699    -9.643         t9v
   -7.216    -2.406         m4v
   -0.525    -2.554         l4v
   -2.903     0.877         m6v
    -2.81    -7.553         m7v
   -5.294     2.136         t9v
   10.081   -11.857         t9v
    0.293   -16.477         l0v
   -1.164   -14.151         m6v
   -4.205     4.943         b2v
   -4.872    -2.355         m5v
   -0.593    -9.599         m8v
   -4.122    -0.045         t9v
    0.126    14.012         m6v
   16.089    -1.485         t9v
  -15.392    -8.539         l4v
    27.56    10.657         t9v
  -14.772     5.169         m7v
    3.261    -11.34         m6v
    6.675    -1.868         k9v
    7.488    -5.391         t9v
     8.34    -9.453         m6v
   -7.833    23.811         t9v
   15.211     4.262         m6v
   -2.339   -13.217         m6v
   -5.508     6.938         m6v
   11.261    -3.447         m7v
   -1.107     0.192         k5v
   -6.615     5.829         m5v
    0.211     5.066         t9v
   12.262    13.098         m6v
    1.796   -10.395         t9v
    3.009    15.167         m7v
    5.353    -0.406         m6v
   -6.676    -8.263         t9v
    0.696     4.893         g5v
   -4.605     -8.86         l1v
   -6.542     5.989         m7v
   -11.33     8.782         l3v
   -1.046    11.289         g2v
    0.858    -6.331         g3v
   -6.988     4.689         l8v
    -7.46   -20.845         f0v
    1.384    -1.459         m7v
  -13.066     6.345         m6v
    9.571     7.728         m9v
    4.415    -7.007         m6v
    2.837   -17.928         t9v
    4.611    -4.279         m7v
   -8.035    -9.631         k9v
    9.226     -1.24         m5v
    2.309   -14.239         t9v
   -4.382    31.228         t9v
   -1.484    -11.39         m7v
   -13.34     -5.01         m0v
    1.635    -0.354         t9v
   -0.431    -0.469         m1v
   20.593    15.921         t9v
   23.262    -4.299         t9v
   -8.397     6.209         m6v
   18.718     6.481         m0v
    5.401    -2.669         t9v
   -4.573     3.483         m6v
  -14.333     8.738         m8v
    2.042    -8.376         l4v
   -4.154     2.974         k8v
    0.047   -20.902         m4v
    4.909    -4.629         m6v
   -10.81     -6.07         m6v
   -1.688     2.975         m7v
   10.572     3.889         l7v
  -12.439      -1.7         t9v
    5.346     8.882         t7v
    3.763     9.103         m7v
   -8.703     0.532         m6v
   -3.421     1.841         m7v
    2.858    -4.713         t9v
   20.651     10.78         b1v
    -3.21   -23.575         t9v
  -12.005    -4.946         l1v
  -12.699     9.249         t9v
   -8.075    -6.581         t9v
   -7.218     7.371         l0v
   10.378    -4.859         m6v
   -1.949    21.408         m7v
    5.731    13.897         m7v
   -17.75    18.789         t9v
    6.831   -19.893         m7v
    6.541     4.195         m4v
   18.997      2.71         k7v
    6.975   -10.537         m2v
   -0.596   -10.236         m7v
  -11.785    -7.656         m0v
    8.233    -2.399         m5v
    8.588    -3.806         a3v
  -14.894    -3.948         t9v
    0.855   -16.761         m6v
    8.663    21.971         m5v
   11.875    -3.019         f0v
     7.25    -3.194         k8v
    6.669     3.473         t9v
    -9.04    -6.296         m6v
   14.594     2.673         g8v
  -23.586    -1.508         t9v
    2.132    -1.813         l0v
   -1.637    -0.787         t9v
     5.37    -2.704         t9v
    8.328    17.279         k7v
    4.332     7.085         l8v
    8.894   -17.545         m7v
   -11.01    12.512         m6v
    9.507    -4.903         m1v
    9.856     -5.15         g7v
   -3.577     9.452         m6v
    3.851      3.61         m6v
   22.874     2.408         m6v
   -6.811    -9.582         t8v
    4.087     5.236         k7v
   -6.995    21.703         m7v
   -8.162    -5.161         t9v
  -14.184     -6.84         m6v
   -0.879    -6.411         t9v
    5.086   -12.376         m1v
    4.196     -6.37         t7v
    0.511   -18.381         t9v
   -3.709     2.012         m7v
  -10.086    -7.931         m6v
   14.181    -2.325         m7v
    7.565   -10.763         t9v
  -15.391     5.666         l6v
    2.882    -0.521         m6v
   -4.942    -9.299         m6v
   -6.078    -8.662         m6v
   -0.033    -3.211         m7v
   -2.498    -5.811         a6v
   18.634    -0.125         k7v
  -10.392     1.419         m1v
    9.942    -6.702         a8v
   -9.696    -9.735         m2v
   -1.669     8.813         l9v
   -8.721    -3.022         m6v
    9.549     1.328         m8v
   -5.163    -7.648         t9v
  -17.138     8.671         t9v
   -0.296    -9.225         m9v
  -25.984   -21.836         m0v
   -5.369    -6.025         m4v
   -5.356    15.836         t9v
  -13.537   -12.025         g2v
    5.499     2.931         a0v
   -9.325     -2.87         m1v
   -3.832   -19.174         a6v
   -3.105    -5.061         m9v
   -2.654   -10.445         m6v
    3.576   -16.687         m7v
    -2.72     5.186         t9v
   -1.078   -15.501         m6v
   10.723   -22.509         m6v
    4.132     6.754         l2v
    8.734     3.591         t9v
    0.791    -6.772         m5v
   -7.467    -0.202         m6v
    0.034     0.465         m6v
  -13.627     0.449         m6v
    0.752    -5.768         m7v
   17.794     0.809         f6v
    4.968     6.409         g5v
   -7.362    -5.531         m7v
    6.607    20.483         g3v
   16.473    11.188         m6v
     -0.5    10.065         m6v
   -6.255     1.013         m6v
    3.642    -8.372         k5v
   10.298   -17.856         t9v
    2.853    -9.435         l2v
    7.477       2.0         t9v
   -7.599    15.947         m6v
   13.994    -9.119         t3v
   -6.996    -4.407         k9v
   -2.484      -4.1         b3v
   -10.21     0.679         l4v
  -11.808    -8.374         l0v
    3.381     7.595         m7v
   13.368    -3.174         m6v
    7.531      8.12         f7v
     8.81   -14.557         t9v
  -14.384    -8.554         a1v
    2.277     3.039         t9v
    4.423    -1.292         m6v
   10.048    -1.152         t8v
    1.191    17.676         m6v
    2.817     7.409         t9v
    5.615    13.168         m7v
    -1.22     1.659         t8v
   17.698   -12.125         t9v
   -11.29    -4.058         m6v
   -2.527    -0.875         m8v
   15.007   -14.563         m6v
    4.673    12.146         m7v
   -0.973      6.87         m9v
    9.158    12.299         m7v
   -9.646   -11.704         t9v
   -5.697     1.146         m6v
   -6.831    -2.277         l1v
    9.056     9.597         m6v
   12.004     6.831         l7v
   -6.995    14.961         l2v
  -13.828     3.319         f2v
     27.8    -3.514         m5v
   13.392   -13.352         g2v
   -5.675    -6.644         m5v
  -20.498    -5.809         m7v
  -14.204      1.02         g8v
    9.195    -8.226         m7v
   -2.629    12.732         t9v
    5.618    -7.153         k7v
  -12.458    -2.828         t9v
   -1.984   -10.625         m6v
   -3.826     6.284         b3v
   -2.389    -7.662         m6v
   23.146    -5.136         g9v
  -12.024    -3.512         m5v
    3.327    -1.343         a6v
   10.294     7.463         m6v
  -10.655     7.669         l2v
   -4.687    -6.823         m6v
   -6.028     0.996         m6v
   -1.264      -3.7         m8v
   -7.078     5.907         m6v
    0.801    13.363         m6v
    6.925     5.246         t9v
   -2.635   -15.579         m6v
    8.216    11.325         t9v
   -7.424    -1.741         m6v
   -2.299    12.033         m6v
   -5.009    -8.192         m0v
   -4.501    -4.549         t9v
    8.032    -2.883         m6v
   -6.174     6.935         g4v
   10.069     6.745         l0v
   -3.636    -8.055         l4v
    1.938    -8.418         m5v
  -14.906    -9.632         g0v
   -5.336   -28.682         m4v
   -4.716    -3.698         m7v
    8.661     2.092         m7v
  -13.819    -3.668         m5v
   11.964    -0.826         m6v
    2.076    -1.685         m6v
    2.756   -11.305         k5v
   -1.129    -4.214         m7v
   12.749    -0.743         m7v
   21.631    12.366         m7v
   -0.421     2.158         t9v
   -4.245    13.997         k5v
     4.77    -8.904         l3v
    1.044     3.688         m6v
    9.636     7.911         t9v
    5.278     1.898         m6v
    5.546     -0.55         m6v
    -1.74    -3.217         m7v
    6.348     12.61         m7v
    4.037   -11.939         g7v
    5.982     4.009         b7v
   -4.876    -9.499         m6v
    1.738    16.143         t9v
    6.649    15.127         m6v
   12.678    -8.042         k5v
  -14.295    -5.108         m6v
    8.848    -5.062         m6v
   -3.628     5.904         m4v
   -8.511   -15.912         m2v
   -12.31    -1.099         m7v
    1.658    -2.194         m6v
    6.855    13.924         l0v
    6.255   -12.036         t9v
    8.335     4.146         m7v
   -1.374      5.91         t9v
   -3.741   -11.071         m8v
    7.124     8.059         l3v
  -13.317    14.985         t6v
  -10.075   -13.101         m7v
    6.063     7.103         m7v
   12.498    10.364         f3v
  -12.833     -2.13         m8v
    2.757    -1.753         m6v
   -1.732     5.975         m7v
    7.034     9.621         t9v
    2.182    11.739         k4v
   -3.947    12.477         k5v
   -0.228    -0.421         l0v
   12.249   -28.306         m6v
    8.877    15.128         t9v
   -4.556    18.854         m8v
   -8.697    26.273         m6v
    1.383    11.302         t9v
    -8.22     8.338         t9v
   -7.187    -5.515         m6v
    2.076    -0.554         l3v
   -0.851     4.946         l8v
  -14.882    -6.666         m6v
     0.08   -17.294         g0v
  -15.545    -7.063         m6v
    9.391     2.381         t9v
    9.229   -11.465         m6v
  -15.225     -3.28         m6v
    1.424     7.471         m7v
    2.079   -10.988         k9v
  -19.125    -2.088         m7v
    -5.25     5.878         m6v
   -6.221   -20.782         m8v
   22.541   -19.695         m8v
  -20.641      -0.0         m6v
  -12.465     8.135         t1v
   -2.145    -2.086         m7v
   -2.417      8.21         m6v
    7.885    -7.594         t9v
    0.617     2.917         m0v
   16.502   -13.451         m0v
   -3.239   -13.811         k6v
   10.686    14.871         k5v
    -4.79    -7.378         k7v
     0.39     8.395         m5v
   -8.609    -2.267         t9v
   -6.467     2.021         m3v
   -7.801    15.855         m7v
  -14.854    14.985         m7v
   -4.207    24.806         m8v
    -4.24     5.447         t5v
   20.825     7.937         m7v
    1.345     1.014         a8v
  -10.503   -15.332         f7v
    1.917    -13.28         l7v
   -3.548     6.686         l2v
  -12.066    16.247         m7v
   17.706    19.629         m7v
   -1.825    -1.473         m6v
    6.062     9.537         t9v
   -8.091     1.694         m0v
  -17.784   -21.508         m1v
   10.667    12.929         m8v
    1.681    23.234         m6v
  -21.391    13.661         m6v
   -2.889    -5.502         m9v
   -8.304      8.67         m1v
   -2.788   -16.859         m7v
    8.919     1.784         m3v
    6.473     1.758         m7v
    2.843     7.037         m7v
    3.989   -14.479         m6v
    0.315     9.576         m7v
    8.845    -0.305         m6v
   -1.513     0.997         l2v
    2.093    14.074         m5v
    2.449    10.177         m6v
    10.32   -15.101         m0v
  -14.728   -27.202         l7v
    4.189     1.678         l7v
   -5.421     4.574         m7v
   -9.459     10.24         m6v
  -11.879     2.562         b1v
  -14.258    -2.397         t9v
   -0.468    14.224         f0v
      1.1   -14.934         m6v
   -7.191     9.551         t5v
   17.427     7.787         m6v
   16.816     6.948         m6v
   -4.147    -4.224         m7v
    3.683      4.78         m2v
  -12.633     8.804         k2v
    2.603     7.836         m7v
    4.565    -1.759         m4v
  -24.108    -0.735         m6v
    2.088     3.077         m7v
  -12.663     4.578         k5v
    3.527     6.738         t9v
  -19.312   -12.506         k8v
   11.899      7.78         m6v
   -4.555    -6.665         t9v
    6.268     2.049         m4v
   -8.957    -2.806         m6v
   -4.324    -6.026         t9v
    4.848    -12.91         m8v
    4.315    12.655         k7v
   19.822    -3.666         m5v
   -4.479    -8.855         t9v
   -1.706     5.861         l7v
  -17.012     4.782         t9v
    7.413     5.314         m2v
   -8.556      3.96         m6v
    5.686     1.585         m7v
   17.709    -0.262         m6v
    4.466     1.158         m6v
   -1.113     7.552         m6v
   21.853   -23.221         m6v
  -11.399    -1.573         t0v
   -0.898     4.179         l4v
   -8.786    -3.857         t9v
    6.042   -11.184         l3v
   15.955    13.122         l0v
  -13.999     8.819         t9v
   20.649   -18.281         t3v
    -7.55    -3.866         t9v
   -3.269   -13.255         m7v
   -8.863    -5.471         m6v
    0.991    -3.302         g7v
    5.884    -6.392         k8v
   -1.413    -5.126         m6v
    5.587    26.596         k6v
     3.71     1.847         k3v
    6.308     5.129         k7v
  -11.464    17.583         t9v
    11.53    -5.651         a5v
   -2.791     6.065         g8v
   26.476    -0.396         m7v
   -5.783     1.115         t4v
    0.388      1.85         m7v
    10.71     1.799         l5v
  -11.654     8.476         m3v
   -1.194    21.457         m6v
  -13.199    -2.578         m6v
    2.985   -12.214         m6v
   -2.575    12.712         m5v
   17.531      3.67         m4v
   -7.875     8.674         m7v
    3.038     4.184         m6v
    0.639     9.039         m9v
    -7.71    -0.135         m7v
   -0.904    -7.248         l6v
  -12.855    -5.296         m6v
    4.295    10.836         f3v
  -11.949      17.5         m6v
    0.153    -5.943         t9v
   16.939     6.284         m7v
    -8.78   -19.068         m7v
   -9.567     9.118         t9v
    5.528   -23.581         t9v
    4.228   -12.611         g7v
     6.64    -2.436         m3v
     9.89   -27.384         f7v
   12.187   -25.556         t9v
  -15.432    -9.301         k2v
  -19.426     -6.12         m7v
   -0.431    16.837         m6v
   -3.027    -4.523         m1v
  -17.376     2.918         m7v
    0.424    -0.512         f8v
   -10.19    -2.791         m8v
  -15.014     6.665         l5v
   -4.611     1.431         m7v
   -6.684     5.175         m6v
   18.075     5.744         l6v
   12.943    11.438         l5v
   16.346    11.907         l9v
     0.28    13.636         t9v
   -3.802    22.051         l6v
    4.255    -4.087         m5v
   -0.496      5.19         m7v
    4.481     7.547         m5v
    8.772    -8.885         g1v
    4.289    -9.912         m9v
    -4.92    26.642         m7v
   -6.471    -0.386         m6v
    8.626    12.677         a6v
    -8.24    19.235         m6v
    5.865     8.626         a4v
   -0.103      4.37         m6v
  -13.387    -2.465         m6v
    4.129    18.432         k9v
  -16.234   -11.812         f2v
    1.701      8.09         k6v
    3.327     10.76         g5v
    3.387   -19.046         t9v
  -15.928     9.299         a8v
   -7.057     1.114         t9v
   -6.094     1.016         t9v
   -0.166     0.237         t1v
    4.807   -16.149         m2v
  -22.599    -1.212         t9v
  -12.907     -0.41         a9v
  -15.751    19.197         m7v
    5.497     3.325         f9v
  -11.359    -4.204         t9v
   -0.486   -12.432         m7v
  -16.445   -15.784         f5v
    3.533     4.176         m7v
  -13.548    -9.502         t9v
   -7.846    -5.541         m7v
   -10.27     0.369         m6v
    0.677      0.31         m7v
    7.398     5.646         m3v
   10.768     5.869         m7v
   -3.173    -0.954         l4v
   -5.216     5.041         k0v
   -4.216    -6.854         m6v
   -7.831    -0.535         m4v
   -5.025    -0.799         g2v
    0.337     8.453         a0v
    1.905    14.463         m7v
    0.955   -17.959         k7v
   16.077     2.748         t9v
   15.269    -7.631         k5v
    7.152    -9.157         m7v
    2.339    -3.069         t5v
   -4.363   -15.412         t9v
  -17.337    13.594         t9v
   20.581    -4.812         t9v
    4.452    -2.191         m5v
   11.553   -19.671         m2v
    3.975     7.651         m1v
  -15.629     2.985         m3v
    2.068     5.851         k8v
   10.266    14.535         t9v
  -12.722   -12.833         m7v
   -13.71     4.188         b7v
    6.633    -7.649         m6v
   -6.746    10.769         t9v
   10.909    -6.436         f5v
  -41.045     5.424         m6v
  -14.543    12.026         m8v
    8.991    -6.155         m7v
   -7.679     4.237         l8v
    -9.39   -17.351         t9v
    1.927     7.452         m7v
   13.443    13.164         m6v
    7.109   -12.395         t9v
   -0.361    25.165         l1v
  -11.145     2.342         m6v
   11.123     8.317         m6v
   21.938     6.441         l2v
  -13.282   -21.585         t9v
   10.775     1.329         t9v
    8.901     8.681         m6v
   16.074     4.662         f0v
   -7.165   -10.738         m7v
    5.668     4.214         l9v
   -3.403    15.767         m6v
   11.814    11.449         m6v
    1.891     1.722         m6v
  -15.906    16.845         m3v
   -3.191   -21.953         m6v
  -11.935    -8.893         l2v
     2.26    11.554         g7v
    9.069    11.465         m6v
   -3.399    -3.836         t9v
   21.446     6.557         k7v
   -6.533     5.389         m6v
  -11.419    -0.116         m6v
  -11.656   -14.899         t9v
     1.09    22.679         m7v
   -3.978     8.999         m6v
   -7.441      3.09         t0v
    0.752    14.697         t7v
   23.106   -17.444         m6v
    8.584     0.583         m6v
    4.609   -17.041         l7v
   11.216    12.057         m7v
   -5.425    -8.349         t0v
   12.083     1.925         t9v
   -6.478     9.163         t9v
    0.463     2.412         m7v
    6.321     3.811         m6v
    9.629    -2.602         m7v
  -17.969     9.389         l9v
    9.126     0.053         m6v
   -2.856     0.979         m7v
    0.447    -7.654         t9v
   -1.417   -14.777         a4v
    6.755   -18.016         f6v
    5.363    17.555         b1v
    3.096     5.069         f5v
   15.544    -4.795         m4v
   -0.494     2.477         m6v
    5.595     1.573         f2v
   -8.345    -5.935         g5v
  -10.478    -8.004         l2v
   -7.202   -10.619         l5v
     -4.1   -22.851         k9v
    -1.41     -8.96         m0v
   12.264    24.441         m7v
   -2.039      3.53         g7v
   -4.404    -5.276         t9v
    0.843    12.928         m8v
  -11.905   -15.474         m4v
    4.551    -6.822         m6v
    3.085    -9.908         m7v
    1.373   -10.102         m6v
    7.164    -9.762         g3v
  -15.685    11.009         m6v
     9.47    -8.521         m6v
   -6.199   -12.279         m3v
   10.014    -22.39         t3v
   -7.878    -9.319         m3v
     14.9    18.285         t9v
    9.125     3.734         m7v
   10.464     2.138         t9v
    4.332     12.83         t1v
    2.054     9.114         t9v
     8.11     5.492         t9v
   -0.982     1.301         m7v
    3.165    -8.919         m6v
    3.861    -1.613         m6v
    3.022     6.647         m1v
   -3.349    16.317         m7v
  -15.944    -0.034         m6v
   -4.459    -3.124         t9v
   -10.44    17.074         m6v
  -17.526    -6.633         m6v
      2.6   -20.874         t9v
  -15.957     1.076         t9v
    4.679    25.765         g9v
   -4.829    -2.918         l4v
     2.11    -4.456         t1v
   15.419   -13.201         t9v
   -4.419    -9.477         k8v
   -6.209    -17.58         m6v
  -15.775    -10.04         m6v
   10.435    -9.182         m1v
    4.372     5.353         m6v
